policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
dqn__every_round__full_replay,0,dqn,every_round,full_replay,scratch,0.019733467060357696,0.0325271285475793,0.02666666666666667,0.032916666666666664,0.02666666666666667,0.34833333333333333,5.0,355.5337524000206,8.0
dqn__every_round__hard_mining,0,dqn,every_round,hard_mining,scratch,0.0198256287556172,0.043333333333333335,0.03,0.043333333333333335,0.03,0.34833333333333333,5.0,279.0312501000153,8.0
dqn__every_round__bounded_buffer,0,dqn,every_round,bounded_buffer,scratch,0.023063920838496742,0.06997966487959542,0.06700167504187604,0.075,0.07166666666666667,0.34833333333333333,5.0,247.23874780000187,8.0
ppo__every_round__full_replay,0,ppo,every_round,full_replay,scratch,0.0196276095221898,0.053750000000000006,0.02666666666666667,0.053750000000000006,0.02666666666666667,0.19833333333333333,7.0,218.63663239999732,8.0
ppo__every_round__hard_mining,0,ppo,every_round,hard_mining,scratch,0.07246646734103221,0.08126669449081803,0.20666666666666667,0.08166666666666667,0.20666666666666667,0.20666666666666667,6.0,164.5242547999951,8.0
ppo__every_round__bounded_buffer,0,ppo,every_round,bounded_buffer,scratch,0.03736782261072575,0.07238071911984956,0.12876254180602006,0.07708333333333332,0.13166666666666665,0.19833333333333333,nan,145.62907829998585,8.0
dqn__every_round__full_replay,1,dqn,every_round,full_replay,scratch,0.004912427551063166,0.019583333333333335,0.02666666666666667,0.019583333333333335,0.02666666666666667,0.31333333333333335,6.0,147.07966859996668,8.0
dqn__every_round__hard_mining,1,dqn,every_round,hard_mining,scratch,0.05467549471401445,0.09417929292929293,0.1717171717171717,0.09625,0.18,0.31333333333333335,5.0,141.42538559998502,8.0
dqn__every_round__bounded_buffer,1,dqn,every_round,bounded_buffer,scratch,0.01919834338918045,0.10411573187592939,0.08108108108108109,0.11875,0.09333333333333334,0.31333333333333335,4.0,184.04900850000558,8.0
ppo__every_round__full_replay,1,ppo,every_round,full_replay,scratch,0.017653100136929046,0.09041666666666667,0.07333333333333333,0.09041666666666667,0.07333333333333333,0.24833333333333332,7.0,135.7045497000072,8.0
ppo__every_round__hard_mining,1,ppo,every_round,hard_mining,scratch,0.01749503897934751,0.036733528521852445,0.020100502512562814,0.03875,0.025,0.24833333333333332,6.0,174.11510220002674,8.0
ppo__every_round__bounded_buffer,1,ppo,every_round,bounded_buffer,scratch,0.026754412927797743,0.056160289277551095,0.05360134003350084,0.06625,0.058333333333333334,0.24833333333333332,7.0,144.2201964000269,8.0
dqn__every_round__full_replay,2,dqn,every_round,full_replay,scratch,0.009307628293203616,0.02375,0.03333333333333333,0.02375,0.03333333333333333,0.49833333333333335,4.0,133.30931379999674,8.0
dqn__every_round__hard_mining,2,dqn,every_round,hard_mining,scratch,0.005187458165828638,0.03049066425744278,0.028333333333333332,0.032916666666666664,0.028333333333333332,0.49833333333333335,4.0,147.42047419998562,8.0
dqn__every_round__bounded_buffer,2,dqn,every_round,bounded_buffer,scratch,0.007861650943380503,0.03866699865319103,0.026981450252951095,0.0475,0.03833333333333333,0.49833333333333335,4.0,151.4539334999863,8.0
ppo__every_round__full_replay,2,ppo,every_round,full_replay,scratch,0.006166103577895309,0.014583333333333335,0.013333333333333334,0.014583333333333335,0.013333333333333334,0.23333333333333334,7.0,144.88625020002655,8.0
