policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
random__every_round__bounded_buffer,0,random,every_round,bounded_buffer,nan,0.00876981882493716,0.03958333333333333,0.025,0.03958333333333333,0.025,0.8016666666666666,6.0,348.4086418999941,8.0
random__every_round__hard_mining,0,random,every_round,hard_mining,nan,0.0027322660517925005,0.04375,0.041666666666666664,0.04375,0.041666666666666664,0.8016666666666666,6.0,337.8193839000305,8.0
random__every_round__bounded_buffer,1,random,every_round,bounded_buffer,nan,0.0054486236794258425,0.04168405676126878,0.035,0.042083333333333334,0.035,0.8333333333333334,6.0,328.31065739998303,8.0
random__every_round__hard_mining,1,random,every_round,hard_mining,scratch,0.0085289539543578,0.03791666666666667,0.028333333333333332,0.03791666666666667,0.028333333333333332,0.8333333333333334,6.0,452.2519074000011,8.0
random__every_round__bounded_buffer,2,random,every_round,bounded_buffer,scratch,0.014215601757693317,0.04296691792294807,0.025,0.04416666666666667,0.025,0.8016666666666666,6.0,429.22366540000075,8.0
random__every_round__hard_mining,2,random,every_round,hard_mining,scratch,0.014012643100666865,0.042916666666666665,0.03,0.042916666666666665,0.03,0.8016666666666666,6.0,428.1652342000307,8.0
random__every_round__bounded_buffer,3,random,every_round,bounded_buffer,scratch,0.016287350238076717,0.04127782415136338,0.03333333333333333,0.041666666666666664,0.03333333333333333,0.8516666666666667,5.0,439.42935679997026,8.0
random__every_round__hard_mining,3,random,every_round,hard_mining,scratch,0.012936812246883351,0.047111157484696714,0.03333333333333333,0.047499999999999994,0.03333333333333333,0.8516666666666667,5.0,394.4691415000125,8.0
random__every_round__bounded_buffer,4,random,every_round,bounded_buffer,scratch,0.009646530752325187,0.04420422927100724,0.03166666666666667,0.045000000000000005,0.03166666666666667,0.8283333333333334,5.0,334.18427279999014,8.0
random__every_round__hard_mining,4,random,every_round,hard_mining,scratch,0.013037073205968346,0.04129319955406912,0.02666666666666667,0.042083333333333334,0.02666666666666667,0.8283333333333334,5.0,320.3988535999815,8.0
