policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
random__every_round__hard_mining,0,random,every_round,hard_mining,scratch,0.004166666666666667,0.042499999999999996,0.03666666666666667,0.042499999999999996,0.03666666666666667,0.8016666666666666,6.0,232.60102929998538,8.0
random__every_round__bounded_buffer,0,random,every_round,bounded_buffer,scratch,0.004166666666666667,0.042499999999999996,0.03666666666666667,0.042499999999999996,0.03666666666666667,0.8016666666666666,6.0,270.31082500000775,8.0
random__every_round__hard_mining,1,random,every_round,hard_mining,scratch,0.009354143466934854,0.03833333333333333,0.028333333333333332,0.03833333333333333,0.028333333333333332,0.8333333333333334,6.0,346.5660355999862,8.0
random__every_round__bounded_buffer,1,random,every_round,bounded_buffer,scratch,0.009354143466934854,0.03833333333333333,0.028333333333333332,0.03833333333333333,0.028333333333333332,0.8333333333333334,6.0,346.44987680000486,8.0
random__every_round__hard_mining,2,random,every_round,hard_mining,scratch,0.01594260539142416,0.041666666666666664,0.02,0.041666666666666664,0.02,0.8016666666666666,6.0,340.94227030000184,8.0
random__every_round__bounded_buffer,2,random,every_round,bounded_buffer,scratch,0.01594260539142416,0.041666666666666664,0.02,0.041666666666666664,0.02,0.8016666666666666,6.0,426.85493990000396,8.0
random__every_round__hard_mining,3,random,every_round,hard_mining,scratch,0.016514934318838676,0.041694490818030054,0.03166666666666667,0.042083333333333334,0.03166666666666667,0.8516666666666667,5.0,409.98121369999717,8.0
random__every_round__bounded_buffer,3,random,every_round,bounded_buffer,scratch,0.016514934318838676,0.041694490818030054,0.03166666666666667,0.042083333333333334,0.03166666666666667,0.8516666666666667,5.0,402.3158051000064,8.0
random__every_round__hard_mining,4,random,every_round,hard_mining,scratch,0.00692218655243173,0.04583333333333334,0.03833333333333333,0.04583333333333334,0.03833333333333333,0.8283333333333334,6.0,393.36285830001,8.0
random__every_round__bounded_buffer,4,random,every_round,bounded_buffer,scratch,0.00692218655243173,0.04583333333333334,0.03833333333333333,0.04583333333333334,0.03833333333333333,0.8283333333333334,6.0,406.27701059999526,8.0
