policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
random__every_round__full_replay__finetune,0,random,every_round,full_replay,nan,0.0008333333333333526,0.9935897435897436,0.9871794871794872,0.9991666666666665,0.9983333333333333,1.0,7.0,69.0799432000058,8.0
random__every_round__hard_mining__finetune,0,random,every_round,hard_mining,nan,0.01345646271829596,0.20151245551601424,0.22597864768683273,0.2520833333333333,0.275,0.8016666666666666,7.0,70.52967519998492,8.0
random__every_round__bounded_buffer__finetune,0,random,every_round,bounded_buffer,nan,0.012437342963832775,0.8511038095559456,0.8346774193548387,0.8779166666666667,0.8633333333333333,0.8933333333333333,7.0,70.88647179998225,8.0
random__every_n__full_replay__finetune,0,random,every_n,full_replay,nan,0.11172262279612147,0.3548962027186761,0.1400709219858156,0.385,0.19166666666666668,0.8016666666666666,4.0,35.84895860000688,3.0
random__every_n__hard_mining__finetune,0,random,every_n,hard_mining,nan,0.009204467514322703,0.6596153846153847,0.676923076923077,0.7050000000000001,0.72,0.8016666666666666,7.0,31.16625219999696,3.0
random__every_n__bounded_buffer__finetune,0,random,every_n,bounded_buffer,nan,0.14323337115041,0.5867127726390317,0.8432539682539683,0.6204166666666666,0.8683333333333333,0.8683333333333333,4.0,40.78462039997976,3.0
random__threshold__full_replay__finetune,0,random,threshold,full_replay,nan,0.0008333333333333526,0.9935897435897436,0.9871794871794872,0.9991666666666665,0.9983333333333333,1.0,7.0,66.05356539999775,8.0
random__threshold__hard_mining__finetune,0,random,threshold,hard_mining,nan,0.01345646271829596,0.20151245551601424,0.22597864768683273,0.2520833333333333,0.275,0.8016666666666666,7.0,67.13648810001905,8.0
random__threshold__bounded_buffer__finetune,0,random,threshold,bounded_buffer,nan,0.012437342963832775,0.8511038095559456,0.8346774193548387,0.8779166666666667,0.8633333333333333,0.8933333333333333,7.0,68.73466940000071,8.0
random__every_round__full_replay__finetune,1,random,every_round,full_replay,nan,0.015656911856713286,0.26419965576592086,0.2908777969018933,0.2875,0.31333333333333335,0.8333333333333334,6.0,72.19983830000274,8.0
random__every_round__hard_mining__finetune,1,random,every_round,hard_mining,nan,0.07426024059571405,0.8281077770734743,0.9437340153452686,0.8641666666666666,0.9633333333333334,0.9633333333333334,nan,116.31135380000342,8.0
random__every_round__bounded_buffer__finetune,1,random,every_round,bounded_buffer,nan,0.07170057337443139,0.9366946778711485,1.0,0.9575,1.0,1.0,nan,150.67848809997668,8.0
random__every_n__full_replay__finetune,1,random,every_n,full_replay,nan,0.10528070942854524,0.4458239579985,0.20588235294117646,0.5058333333333334,0.325,0.8333333333333334,4.0,102.97176910001144,3.0
random__every_n__hard_mining__finetune,1,random,every_n,hard_mining,nan,0.0032004773949452768,0.6927680948922779,0.676954732510288,0.7420833333333333,0.7383333333333333,0.8333333333333334,7.0,97.94390789998579,3.0
random__every_n__bounded_buffer__finetune,1,random,every_n,bounded_buffer,nan,0.07496758558796522,0.7626408202781201,0.7934782608695652,0.8391666666666666,0.9683333333333334,0.9683333333333334,nan,101.02992209998774,3.0
random__threshold__full_replay__finetune,1,random,threshold,full_replay,nan,0.015656911856713286,0.26419965576592086,0.2908777969018933,0.2875,0.31333333333333335,0.8333333333333334,6.0,214.56869459994778,8.0
random__threshold__hard_mining__finetune,1,random,threshold,hard_mining,finetune,0.07426024059571405,0.8281077770734743,0.9437340153452686,0.8641666666666666,0.9633333333333334,0.9633333333333334,nan,374.66913990001194,8.0
random__threshold__bounded_buffer__finetune,1,random,threshold,bounded_buffer,finetune,0.07170057337443139,0.9366946778711485,1.0,0.9575,1.0,1.0,nan,261.7224771000183,8.0
random__every_round__full_replay__finetune,2,random,every_round,full_replay,finetune,0.013176156917368224,0.7668845315904139,0.7516339869281046,0.8216666666666667,0.81,0.84,7.0,272.30161790002603,8.0
random__every_round__hard_mining__finetune,2,random,every_round,hard_mining,finetune,0.044835734136462545,0.8773048371647509,0.90625,0.95875,0.98,0.9933333333333333,nan,334.3486501999869,8.0
random__every_round__bounded_buffer__finetune,2,random,every_round,bounded_buffer,finetune,0.07790218225441442,0.8429800851947153,0.9064587973273942,0.8741666666666666,0.93,0.93,nan,277.2451879000291,8.0
random__every_n__full_replay__finetune,2,random,every_n,full_replay,finetune,0.02349275893168408,0.4778001581521315,0.4120982986767486,0.5220833333333333,0.4816666666666667,0.8016666666666666,4.0,110.66546209999069,3.0
