policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,total_trees_fitted,retrain_count
random__every_round__full_replay__finetune,0,random,every_round,full_replay,finetune,0.0008333333333333526,0.9935897435897436,0.9871794871794872,0.9991666666666665,0.9983333333333333,1.0,7.0,106.61877689993707,640.0,8.0
random__every_round__hard_mining__finetune,0,random,every_round,hard_mining,finetune,0.01345646271829596,0.20151245551601424,0.22597864768683273,0.2520833333333333,0.275,0.8016666666666666,7.0,93.21385040000314,640.0,8.0
random__every_round__bounded_buffer__finetune,0,random,every_round,bounded_buffer,finetune,0.012437342963832775,0.8511038095559456,0.8346774193548387,0.8779166666666667,0.8633333333333333,0.8933333333333333,7.0,85.4205673999968,640.0,8.0
random__every_n__full_replay__finetune,0,random,every_n,full_replay,finetune,0.11172262279612147,0.3548962027186761,0.1400709219858156,0.385,0.19166666666666668,0.8016666666666666,4.0,60.87687220002408,240.0,3.0
random__every_n__hard_mining__finetune,0,random,every_n,hard_mining,finetune,0.009204467514322703,0.6596153846153847,0.676923076923077,0.7050000000000001,0.72,0.8016666666666666,7.0,37.83629059998202,240.0,3.0
random__every_n__bounded_buffer__finetune,0,random,every_n,bounded_buffer,finetune,0.14323337115041,0.5867127726390317,0.8432539682539683,0.6204166666666666,0.8683333333333333,0.8683333333333333,4.0,58.260855899978196,240.0,3.0
random__threshold__full_replay__finetune,0,random,threshold,full_replay,finetune,0.0008333333333333526,0.9935897435897436,0.9871794871794872,0.9991666666666665,0.9983333333333333,1.0,7.0,82.88479820001521,640.0,8.0
random__threshold__hard_mining__finetune,0,random,threshold,hard_mining,finetune,0.01345646271829596,0.20151245551601424,0.22597864768683273,0.2520833333333333,0.275,0.8016666666666666,7.0,88.61695709999185,640.0,8.0
random__threshold__bounded_buffer__finetune,0,random,threshold,bounded_buffer,finetune,0.012437342963832775,0.8511038095559456,0.8346774193548387,0.8779166666666667,0.8633333333333333,0.8933333333333333,7.0,86.98575590000837,640.0,8.0
random__every_round__full_replay__finetune,1,random,every_round,full_replay,finetune,0.015656911856713286,0.26419965576592086,0.2908777969018933,0.2875,0.31333333333333335,0.8333333333333334,6.0,79.00700160002452,640.0,8.0
random__every_round__hard_mining__finetune,1,random,every_round,hard_mining,finetune,0.07426024059571405,0.8281077770734743,0.9437340153452686,0.8641666666666666,0.9633333333333334,0.9633333333333334,nan,114.34907140003634,640.0,8.0
random__every_round__bounded_buffer__finetune,1,random,every_round,bounded_buffer,finetune,0.07170057337443139,0.9366946778711485,1.0,0.9575,1.0,1.0,nan,88.90994110002066,640.0,8.0
random__every_n__full_replay__finetune,1,random,every_n,full_replay,finetune,0.10528070942854524,0.4458239579985,0.20588235294117646,0.5058333333333334,0.325,0.8333333333333334,4.0,65.02903229999356,240.0,3.0
random__every_n__hard_mining__finetune,1,random,every_n,hard_mining,finetune,0.0032004773949452768,0.6927680948922779,0.676954732510288,0.7420833333333333,0.7383333333333333,0.8333333333333334,7.0,76.19709350002813,240.0,3.0
random__every_n__bounded_buffer__finetune,1,random,every_n,bounded_buffer,finetune,0.07496758558796522,0.7626408202781201,0.7934782608695652,0.8391666666666666,0.9683333333333334,0.9683333333333334,nan,43.217202600004384,240.0,3.0
random__threshold__full_replay__finetune,1,random,threshold,full_replay,finetune,0.015656911856713286,0.26419965576592086,0.2908777969018933,0.2875,0.31333333333333335,0.8333333333333334,6.0,73.47632819996215,640.0,8.0
random__threshold__hard_mining__finetune,1,random,threshold,hard_mining,finetune,0.07426024059571405,0.8281077770734743,0.9437340153452686,0.8641666666666666,0.9633333333333334,0.9633333333333334,nan,120.18969149998156,640.0,8.0
random__threshold__bounded_buffer__finetune,1,random,threshold,bounded_buffer,finetune,0.07170057337443139,0.9366946778711485,1.0,0.9575,1.0,1.0,nan,74.6232800000289,640.0,8.0
random__every_round__full_replay__finetune,2,random,every_round,full_replay,finetune,0.013176156917368224,0.7668845315904139,0.7516339869281046,0.8216666666666667,0.81,0.84,7.0,95.34754650006653,640.0,8.0
random__every_round__hard_mining__finetune,2,random,every_round,hard_mining,finetune,0.044835734136462545,0.8773048371647509,0.90625,0.95875,0.98,0.9933333333333333,nan,84.1180394999974,640.0,8.0
random__every_round__bounded_buffer__finetune,2,random,every_round,bounded_buffer,finetune,0.07790218225441442,0.8429800851947153,0.9064587973273942,0.8741666666666666,0.93,0.93,nan,107.86418629993568,640.0,8.0
random__every_n__full_replay__finetune,2,random,every_n,full_replay,finetune,0.02349275893168408,0.4778001581521315,0.4120982986767486,0.5220833333333333,0.4816666666666667,0.8016666666666666,4.0,48.068941500008805,240.0,3.0
random__every_n__hard_mining__finetune,2,random,every_n,hard_mining,finetune,0.06779257579804247,0.6257496542901301,0.7354709418837675,0.6666666666666667,0.78,0.8016666666666666,4.0,47.34405149996746,240.0,3.0
random__every_n__bounded_buffer__finetune,2,random,every_n,bounded_buffer,finetune,0.009745012969605428,0.7298237154683525,0.7082494969818913,0.7729166666666666,0.7583333333333333,0.8016666666666666,7.0,41.071305099962046,240.0,3.0
random__threshold__full_replay__finetune,2,random,threshold,full_replay,finetune,0.013176156917368224,0.7668845315904139,0.7516339869281046,0.8216666666666667,0.81,0.84,7.0,59.563901699963026,640.0,8.0
random__threshold__hard_mining__finetune,2,random,threshold,hard_mining,finetune,0.044835734136462545,0.8773048371647509,0.90625,0.95875,0.98,0.9933333333333333,nan,64.7752790999657,640.0,8.0
random__threshold__bounded_buffer__finetune,2,random,threshold,bounded_buffer,finetune,0.07790218225441442,0.8429800851947153,0.9064587973273942,0.8741666666666666,0.93,0.93,nan,66.12381950000417,640.0,8.0
