policy,seed,attacker,cadence,data_selection,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
random__every_round__full_replay,0,random,every_round,full_replay,0.004166666666666667,0.042499999999999996,0.03666666666666667,0.042499999999999996,0.03666666666666667,0.8016666666666666,6.0,199.2830871000042,8.0
random__every_round__hard_mining,0,random,every_round,hard_mining,0.039281745831308924,0.39796821166945306,0.45854483925549916,0.41666666666666663,0.4666666666666667,0.8016666666666666,6.0,191.42631069998606,8.0
random__every_round__bounded_buffer,0,random,every_round,bounded_buffer,0.022028233146477165,0.27790417504469955,0.29591836734693877,0.29208333333333336,0.31,0.8016666666666666,5.0,201.01294480002252,8.0
random__every_n__full_replay,0,random,every_n,full_replay,0.019112241568632858,0.055,0.023333333333333334,0.055,0.023333333333333334,0.8016666666666666,7.0,66.99733680000645,3.0
random__every_n__hard_mining,0,random,every_n,hard_mining,0.08195844983892754,0.3203515447523853,0.4838709677419355,0.3520833333333333,0.49333333333333335,0.8016666666666666,nan,68.50805099999707,3.0
random__every_n__bounded_buffer,0,random,every_n,bounded_buffer,0.02636219410022196,0.30657345943723197,0.2620689655172414,0.32375,0.2866666666666667,0.8016666666666666,4.0,58.692837199996575,3.0
random__threshold__full_replay,0,random,threshold,full_replay,0.011960583412006105,0.07166666666666667,0.08,0.07166666666666667,0.08,0.8016666666666666,5.0,78.58534720001626,3.0
random__threshold__hard_mining,0,random,threshold,hard_mining,0.039281745831308924,0.39796821166945306,0.45854483925549916,0.41666666666666663,0.4666666666666667,0.8016666666666666,6.0,189.04657019999286,8.0
random__threshold__bounded_buffer,0,random,threshold,bounded_buffer,0.022028233146477165,0.27790417504469955,0.29591836734693877,0.29208333333333336,0.31,0.8016666666666666,5.0,186.790587600015,8.0
random__every_round__full_replay,1,random,every_round,full_replay,0.009354143466934854,0.03833333333333333,0.028333333333333332,0.03833333333333333,0.028333333333333332,0.8333333333333334,6.0,128.9592171999975,8.0
random__every_round__hard_mining,1,random,every_round,hard_mining,0.032371540999258375,0.3287400983282192,0.3524451939291737,0.35250000000000004,0.36,0.8333333333333334,5.0,118.93173570002546,8.0
random__every_round__bounded_buffer,1,random,every_round,bounded_buffer,0.013043729868748783,0.27168294704534335,0.28449744463373083,0.29083333333333333,0.3,0.8333333333333334,5.0,111.2093778000417,8.0
random__every_n__full_replay,1,random,every_n,full_replay,0.016435902436096682,0.049166666666666664,0.021666666666666667,0.049166666666666664,0.021666666666666667,0.8333333333333334,7.0,46.07130239998514,3.0
random__every_n__hard_mining,1,random,every_n,hard_mining,0.09440144037272123,0.3230135868118608,0.49829351535836175,0.34708333333333335,0.51,0.8333333333333334,nan,40.82479080000485,3.0
random__every_n__bounded_buffer,1,random,every_n,bounded_buffer,0.006052432935972477,0.23847430538480452,0.25510204081632654,0.2604166666666667,0.27,0.8333333333333334,7.0,45.034768100013025,3.0
random__threshold__full_replay,1,random,threshold,full_replay,0.008281086214313248,0.08208333333333334,0.07333333333333333,0.08208333333333334,0.07333333333333333,0.8333333333333334,5.0,44.864664199980325,3.0
random__threshold__hard_mining,1,random,threshold,hard_mining,0.032371540999258375,0.3287400983282192,0.3524451939291737,0.35250000000000004,0.36,0.8333333333333334,5.0,107.97559039999032,8.0
random__threshold__bounded_buffer,1,random,threshold,bounded_buffer,0.013043729868748783,0.27168294704534335,0.28449744463373083,0.29083333333333333,0.3,0.8333333333333334,5.0,108.77517320000334,8.0
random__every_round__full_replay,2,random,every_round,full_replay,0.01594260539142416,0.041666666666666664,0.02,0.041666666666666664,0.02,0.8016666666666666,6.0,115.07325959997252,8.0
random__every_round__hard_mining,2,random,every_round,hard_mining,0.02730994934695656,0.26605795392851317,0.2827586206896552,0.285,0.30666666666666664,0.8016666666666666,7.0,107.56345439997676,8.0
random__every_round__bounded_buffer,2,random,every_round,bounded_buffer,0.0415748989442214,0.2795796777515412,0.22413793103448276,0.2975,0.25,0.8016666666666666,nan,110.19188569999824,8.0
